Sentence,Sentiment
accord to olvi s manag director lass aho the compani has an ongo mmx plus project that aim to find growth outsid finland,positive
the compani is own by the state of finland and the european aeronaut defens and space compani ead nv tekla is an intern softwar compani that provid solut for build and construct energi distribut and municip,neutral
as a consequ the work council had withdrawn it petit to suspend the reorganis,neutral
glaxosmithklin target growth across unit scrap viiv ipo,positive
capman has six invest area capman buyout capman technolog capman life scienc capman russia capman public market and capman real estat and each of them has a dedic team and fund,neutral
aviva weigh cash handout after beat profit forecast,positive
in the second quarter of the compani s net profit was eur m compar to a net loss of eur m in april-jun,positive
ramir made million kroon eur mln loss last year the year befor the compani was million kroon in the black,negative
finnish plumb and heat system supplier uponor s net sale in continu busi oper decreas to eur mn in july-septemb compar to eur mn in the third quarter of,negative
kazgiprotsvetmet and outotec finland have sign an agreement on strateg cooper in the market and provid of miner process and metallurg plant and relat servic in kazakhstan and the surround countri,positive
gild now support ibb bib,positive
it will report full-year result on august,neutral
rinkuskiai rais the sale by percent to million liter while the sale of kauno alus grew by percent to liter,positive
the compani aim is to final the negoti and sign the contract at the start of octob,neutral
a total of talvivaara mine compani plc s new share were subscrib for dure the period between may and june under the compani s stock option right a,neutral
connect servic includ outsourc scan and captur which transfer paper invoic into electron format and baswar busi transact servic enabl the custom to receiv and send invoic in an electron format,neutral
talvivaara is list on the london stock exchang main market and nasdaq omx helsinki and is includ in the ftse index,neutral
with the launch of new g handset nokia aim to becom the winner in china s g market as it did in the g market,positive
finnish softwar and hardwar develop elektrobit oyj hel ebgv or eb said today it will temporarili lay off up to peopl for a maximum of day in finland aim to achiev cost save of eur million usd m in the second half of,negative
iwm relat weak is pretti appar but the short boat is get full on this one i prefer the boat closer to empti,negative
nokia s us share were percent lower at by gmt,negative
particular attent is be paid to energi effici in the construct of the build as it is design to meet the requir of energi class b and leed certif will be appli for,neutral
as a result of these negoti the compani has decid to make peopl redund on financi and product ground,neutral
in addit we will launch a versatil onlin servic to complet the tradit print newspap mr valkama say,neutral
accord to seppñnen the new technolog umt solut network build cost are by one-third lower than that of the build of g network oper at mhz frequenc,positive
cs cabot export of it product main to goodyear bridgeston and michelin plant in poland as well as to germani s michelin or itali s pirelli through the compani s logist center in pari stefan said,neutral
rimi supermarket is the key custom in magistr center,neutral
the payment of million lita in interest on a long-term loan provid by raguti major sharehold estonia s a le coq also ad to the loss,negative
this contract demonstr our abil to appli our miner and metal technolog in adjac industri such as oil shale process,positive
chessnwin iwm -minut chart small cap threaten descend triangl breakdown under,negative
finnair s tallinn-bas subsidiari aero as carri passeng a declin of on rout between helsinki and the baltic capit and within southern finland,negative
the price for log has clear improv from and also the price of pulpwood has gone up,positive
the term and condit of stock option scheme are avail on the group s websit,neutral
kone s net sale rose by some year-on-year in the first nine month of,positive
sale for the depart store divis increas by and sale for the cloth store subsidiari seppala increas by meanwhil sale for hobbi hall decreas by,positive
turun kaupunkin finland base compani has award contract to lemminkainen talotekniikka oy for electr instal work,positive
no other ev devic were involv in this action,neutral
bbri bye bye sammi hello bb sound like well see some green tomorrow,positive
the compani close last year with a turnov of about four million euro,neutral
bbri actual lost c per share if u incl vz as no debt and in cash,negative
gakrum nice chart show distinct down channel not a dip where do you see the bottom spi,negative
in q of the compani s result befor tax from continu oper exclud non-recur item total eur - mn compar to eur - mn in the correspond period in,negative
trip maintain neutral rate at jp morgan- pt cut from,neutral
isolation anoth sell rate sell rate on spi qqq iwm and sever compani aapl axp bac blue fxe,negative
gpro down sinc tue morn,negative
altogeth finnair has cancel over flight becaus of the strike,neutral
long vvus share as a call option w an expir of umm today hit hod here,positive
london marketwatch -- share price end lower in london monday as a rebound in bank stock fail to offset broader weak for the ftse,neutral
jd down in after-hour market anyon care to explain whi,negative
complet name of sharehold otto henrik bernhard nyberg for further inform pleas contact maija-liisa friman ceo tel,neutral
the compani expect it net sale in to increas - from,positive
the valu of the deal has not been disclos,neutral
as a result of the negoti the employ of blue - and white-collar employe at the oulu plant would be termin,negative
srv lower it net sale estim for the whole of due to uncertainti in hous sale,neutral
kone share drop percent to xac us in helsinki,negative
the restructur measur will not affect the product of packag print materi,neutral
report in accord with the merg busi oper will start as of januari,neutral
finnish pulp and paper machineri maker vaahto group oyj swung to a mln euro mln net profit in the fiscal - end august from a euro net loss in the fiscal -,positive
the mill s raw materi need will increas by m of wood,neutral
binkster not that it just er lol but look at the correl of aria and foreign price chart they are all pois to breakout,positive
glaston headquart in tamper finland is a grow and intern glass technolog compani,neutral
februari - finnish textil and cloth compani marimekko oyj hel mmov said today it preliminari oper profit grew to eur m in from eur m in,positive
sale of mid-strength beer decreas by,negative
bwld bearish engulf candl,negative
thus the group s balanc sheet will have about eur m in goodwil for the compani ad,neutral
the baltimor polic and fire pension which has about billion lost about million in madoff ponzi scheme,negative
md hen bahr of stockmann gruppen prais the trend sinc the chain becom stronger and their decision-mak process more clear,positive
the report examin the medic equip busi structur and oper histori and product and provid an analysi of it key medic equip revenu line,neutral
morrison face festiv sale test,negative
april - finnish construct and engin compani outotec oyj hel otev said today it slip to a net loss of eur m in the first quarter of from a net profit of eur m in the correspond period last year,negative
the tighten competit situat in the product autom market has affect net sale dure cencorp said,negative
updat -dairi crest lose a third of morrison milk contract,negative
rt streetinsid the steve job effect appl aapl first day iphon s sale were off the chart,positive
saltwaternurs ino can test again in next few day time to take some profit here or hedg with put,negative
easyjet expect resili demand to withstand secur fear,positive
consolid pretax profit decreas by to eur mn from eur mn in,negative
oper profit for the -month period decreas from eur m while net sale increas from eur m as compar to,neutral
scanfil a system supplier and contract manufactur to the communic sector will give notic to product employe and temporarili lay off employe at the compani s plant in sievi in finland,negative
the compani will use the asset for strengthen it balanc sheet and financi posit,positive
in a separ announc to the helsinki stock exchang atria reveal that the compani s third quarter profit declin from eur m in the third quarter of last year to eur m in this year s q,negative
the group said it intend to initi within this year the process of buyout of minor sharehold of raguti with the aim of becom the sole owner of the compani,neutral
the sale of the tiimari segment fell by year-on-year to eur m in june,negative
the seminar introduc modern clean technolog and product financi tool and sponsorship program for energi and environ project as well as the potenti to develop clean energi in vietnam,positive
- profit befor tax was eur million,neutral
moreov konecran and kito intend to transfer the hoist distribut busi of konecran japanes joint ventur mhs konecran to kito,neutral
aapl reject the hodshould head lower sit on the sidelin for now,negative
the contract has been allot as per lowest price criteria,neutral
pretax profit total eur mn compar to eur mn in the first quarter of,negative
okmet s product are base on high-tech expertis that generat ad valu for custom innov product develop and an extrem effici product process,positive
metso foundri jyvaskyla oy will discontinu product on this line by septemb,neutral
in this case the effect would be negat in finland,neutral
the aforement sharehold have inform that they will propos to the annual general meet that the number of member of the board of director shall be five and that besid the present member of the board of director also mr lassi noponen shall be elect to the board of director,neutral
siga bid for reargument deni by judg,negative
royal mail share price edg lower as group rais stamp price,negative
rolls-royc win billion order from emir airlin,positive
latin america current account for approxim of sale at tecnotre compani presid and ceo eero mertano recent told bnamerica,neutral
tspt long,positive
glaston s net profit for the third quarter of drop to mln euro mln from mln euro mln for the correspond period of,negative
net sale decreas to eur mn from eur mn in the correspond period in,neutral
finnish bank of àland report it oper profit fell to eur mn in the third quarter of from eur mn in the third quarter of,neutral
cameco typic price sale contract use a ratio of fix price and spot price,neutral
finnish food industri compani lñnnen tehtaat is plan chang to it fish product busi,neutral
aapl short term fundredempt liquid should have the channel clear soon and on solid foot is new floor come july!,negative
the period s sale drop to eur m from eur m accord to the interim report releas today,negative
the group s oper loss was eur mn down from a profit of eur mn in,negative
most of the increas in net sale was due to the acquisit of swedish silva that produc garden tool and boat,positive
updat cib legal general sell egyptian life joint ventur to axa,positive
profit for the period total eur mn down from eur mn in the third quarter of,negative
payment for acquir share will be made in cash and the price per share will be eur plus an administr fee,neutral
bhp billiton post big loss slash dividend,negative
while concern remain longer term size and scale may enabl nokia to hold on to it newfound margin improv in the near term the analyst wrote,positive
the new organ consist of two busi unit charg messag and financ administr,neutral
astrazeneca patent on asthma drug invalid by us court,negative
ymi long setup close abov the ma macd cross novemb catalyst,positive
updat -sabmil reject ab inbev bln takeov approach,positive
net sale surg by to eur million,positive
multi top on mcd chart final lead to a fall in price stabil is question in the stock but come week will tell,negative
net sale in are expect to be up on,positive
one attract factor about the tablet for media compani is that they provid a new way of make money,positive
stake high for astrazeneca heart drug face tough competit,negative
updat -bhp billiton credit rate fragil in fy agenc warn,negative
tsla i see more downsid in next two week be care - dollar drop potenti vs up move,negative
cargotec will also move hallberg-ivarsson s servic and instal busi under the same roof with it servic center for kalmar and macgregor solut in gothenburg,neutral
uponor made an oper profit of eur mn up from eur mn which made a record year,positive
accord to boss the present cooper is benefici to all parti howev,positive
februari - finnish broadband data communic system provid telest oyj hel tltv said yesterday it net profit rocket to eur m in from eur in and it lift it dividend propos,positive
swedbank hypotek - is to issu a benchmark fix rate cover deal in euro matur januari,neutral
as defenc matur attack develop trojan that are equip with content filter to detect onlin bank activ for captur account detail use method such as form grab screen shot video captur keylog and inject of form field,neutral
philip morri bat sue over law take brand off pack,negative
the pretax profit of the group s life insur busi increas to eur million from eur million,positive
kesko pursu a strategi of healthi focus growth concentr on sale and servic to consumer-custom,positive
there has been some recoveri of the base metal price and increas demand for metal in china howev,positive
hlf short made a kill last coupl day might make more if cover and buy back,negative
the announc push freenet share down or eur in frankfurt trade to eur as investor gave up hope unit internet ag and drillisch would pursu their own takeov and breakup of freenet,negative
subscrib can brows free number with their handset and select the number packag and servic they prefer when activ the phone,neutral
finnair s passeng load factor which measur the number of sold seat as a share of all avail seat drop by percentag point to in septemb,negative
tesla recal model x unit relat to faulti latch for third-row seat fall to level on recal share up tsla,negative
in july-septemb konecran sale decreas to eur mn from eur mn in july-septemb,neutral
the omx helsinki end pct lower at and the omx helsinki was down pct at on bln eur turnov,negative
ruukki announc that it has sign an agreement with aker solut of norway to suppli suction anchor in septemb from it kalajoki unit in finland,positive
oper profit exclud non-recur item total eur mn down from eur mn,negative
raguti which is base in lithuania s second-largest citi kauna boost it sale last year per cent to million liter,positive
more staff has been recruit in japan to further complement it network of close to servic locat in more than countri worldwid,positive
nordea group s oper profit increas in by percent year-on-year to billion euro and total revenu by percent to billion euro,positive
updat -eu regul back approv for gsk inject asthma drug,positive
dolc gabbana has ask the european union to declar marimekko corpor s unikko floral pattern trademark invalid in a continu disput between the two compani,negative
base on the first quarter result exist order backlog and new order prospect the compani expect that full-year sale will contract by from the gross margin will stay at a healthi level and the oper profit margin will be lower than in due to lower sale volum,neutral
the seawind that was en rout from the finnish port of turku to stockholm got stuck in ice alreadi around pm on wednesday and the regal star s journey from the swedish port of kapellskar to paldiski in northwestern estonia was cut short at am on thursday,negative
a total of job will be reduc at the raah steel work,negative
whi put up cost cell phone tower in thin popul area when a few balloon would do,neutral
there are compani which are readi to invest their own fund in this deal such as rostelecom rts rtkm,positive
metso said it has won an order worth around mln eur to suppli a kraftlin board machin to china s lee man paper co,positive
sdm offer general rental equip aluminium scaffold power generat and hoist to custom in the construct sector,neutral
lulu bounc off support earli in week - now indic turn up rsi macd smi worth a look,positive
us-bas t corp is in talk with scandinavian telecom compani teliasonera to sell it stake in uzbek cellular oper coscom an execut at coscom told interfax,neutral
for the last quarter of componenta s net sale doubl to eurm from eurm for the same period a year earlier while it move to a zero pre-tax profit from a pre-tax loss of eurm,positive
updat -dairi crest lose a third of morrison milk contract,negative
nokia - the world s largest mobil phone manufactur - and china postel - china s largest mobil phone distributor - have a long-stand partnership that continu to grow stronger over time,positive
the fair valu of the compani s invest properti went down to eur bn at the end of septemb from eur bn a year earlier,neutral
the volum are expect to increas dure the next few year,positive
costco a premier retail dividend play cost,positive
helsinki afx - nokian tyre report a fourth quarter pretax profit of mln eur up from mln on the back of strong sale,positive
updat -dairi crest lose a third of morrison milk contract,negative
nest oil s refineri have a combin crude oil refin capac of approxim barrel a day,neutral
howev sale return to growth in april-jun ceo pekka eloholma said,positive
novemb - finnish offic furnitur maker martela oyj hel mara said today that it will make redund three peopl and other nine will be laid off perman from the compani s offic staff and factori worker,negative
upm-kymmen has generat thirty-on consecut quarter of posit ebitda,positive
passeng rise at easyjet and aer lingus,positive
updat -meggitt reiter annual outlook after tough,neutral
stora enso oyj said it second-quart result would fall by half compar with the same period in,negative
sanoma learn literatur offer print and digit learn materi is present in eleven countri,neutral
the payment date is march,neutral
the omx helsinki index was pct lower at while the omx helsinki cap portfolio index was down pct at,neutral
brooklynbandit simo base nice a close over is bullish qqq spi studi watch for a close near hod current up up,positive
say brian burton head of it secur vodafon uk,neutral
latvia s stockmann shop mall is a subsidiari of finland s stockmann plc,neutral
the sale will allow campofrio to focus on it recent announc takeov of group smithfield hold the european unit of smithfield food inc sfd of the us,neutral
bawag - is to issu a benchmark cover deal,neutral
- moodi s said it gave p a long-term senior unsecur and p p- short-term debt rate to finnish lender aktia bank s eurbn usd bn euro medium-term note emtn program of march,neutral
metso will suppli the equip for two process line at northland resourc new kaunisvaara iron ore project in sweden which exploit tapuli and sahavaara iron ore deposit,positive
the extract filtrat are veri high in clariti while the dri filter cake meet requir transport moistur limit tmlsfor their ore grade,neutral
both oper profit and net sale for the six-month period increas respect from eur m and eur m as compar to the correspond period in,positive
standard life share price insur buy advic firm pearson jone,positive
nugt longer term bullish,positive
deliveri have start and the network will be readi for a launch soon,positive
short more faz for all who dont know that mean market will tank now -p,negative
tesla motor recal model x suv tsla,negative
the group also has a strong global posit in other fish categori,positive
net sale surg by to eur million,positive
facebook near a buy point last week face a differ technic test today fb aapl nflx,positive
earn per share for january-jun were eur an increas of year-on-year eur,positive
wx decent pull back,negative
pretax loss total eur mn compar to a loss of eur mn in the correspond period in,negative
rpt-old mutual q gross sale beat forecast up pct,positive
in finland insur compani pohjola and the finnish motorcyclist associ have sign an agreement with the aim of improv motorcyclist traffic safeti,positive
shell challeng exxon domin with billion-pound bid for bg,negative
finnish invest group norvestia oyj said it net profit fell to mln euro mln in from mln euro mln in,negative
updat -astrazeneca boost respiratori unit with mln takeda deal,positive
starbuck downgrad on same day as new downgrad reward program start sbux,negative
the compani has deliv the technic infrastructur use by nav for their data warehous and busi intellig initi,neutral
glencor studi possibl ipo for agricultur trade busi,positive
the currenc effect had a pct or mln euro mln negat impact on the revenu,negative
ep drop to eur from eur,negative
cencorp estim that it net sale in the last quarter will be as earlier state eur m to eur m and oper profit ebiti estim to be posit,positive
financialwir tm is a fulli independ proprietari news wire servic,neutral
oper loss befor non-recur item was eur mn compar to a profit of eur mn in,neutral
finnlin estim in it annual general meet that will be financi a tough year due to larg invest,negative
the compani s order book stood at bln euro bln on septemb up by pct on the year with intern order amount to mln euro mln,positive
the sale will allow campofrio to focus on it recent announc takeov of group smithfield hold the european unit of smithfield food inc sfd of the us,neutral
vaisala oyj stock exchang releas klo the annual general meet of vaisala oyj decid on march to approv the compani s annual account for,neutral
i am look forward to contribut to srv s success with my compet say tane hassinen,positive
finnish ship compani finnlin of the grimaldi group report it net sale decreas to eur mn in january-jun from eur mn in the correspond period in,neutral
get midnighttrad in realtim this report is delay,neutral
no more waste-burn facil should be built,neutral
helsinki afx - outokumpu said it has agre to sell the hitura nickel mine in finland to canadian group belveder resourc ltd for mln eur worth of belveder share,neutral
the iso certif demonstr that we are move forward in our qualiti commit to our custom,positive
the compani report a loss for the period of eur mn compar to a loss of eur mn in the correspond period in,positive
this solut is an extens to the exist onlin mediat solut deliv earlier by comptel and ibm,neutral
olvi which control a percent stake in raguti through a le coq said in it annual report publish earlier this year that the lithuanian breweri s sale reach million euro last year a rise of percent from million euro in,positive
hargreav lansdown share price fall as cost mount - although pension,negative
the depart store divis s sale fell by to eur mn,negative
barronsonlin see appl at share in a year from today on grow servic busi aapl,positive
the valu of the deal has not been disclos,neutral
ruukki group calcul that it has lost eur mn in the fail project,neutral
the compani reiter it outlook for,neutral
nokia multimedia s net sale total eur bn up from the correspond period in,positive
the compani close last year with a turnov of about four million euro,neutral
netapp downgrad by macquari to underperform pt ntap ntap via ratingsnetwork,negative
finnish scanfil a system supplier and contract manufactur to the communic sector and the electron industri report net sale of eur mn in the first quarter of which are onli a per cent smaller than in the correspond period in,neutral
konecran oyj kcrv fh fell percent to euro the biggest fall sinc june,negative
endp be su by ftcnobodi will buy them with that hang over their head,negative
deliveri is expect to take place later this month,neutral
pertti ervi is independ from the compani and it major sharehold,neutral
ftse fall to -month low on greek debt concern easyjet skid,negative
hopeturock yes the expect of a deal are somewhat price in but we could see a nice pop if bid come in higher than expect yhoo,positive
plug bear raid,negative
in januari traffic measur in revenu passeng kilometr rpk went up by and capac measur in avail seat kilometr ask rose by,positive
for vnoto to follow after a sell signal by ndx intern technic sell qqq down,negative
travi perkin hike dividend as profit and revenu rise,positive
after the report period bioti north american licens partner somaxon pharmaceut announc posit result with nalmefen in a pilot phase clinic trial for smoke cessat,positive
sainsburi asda tesco and morrison will all cut petrol price as oil fall,negative
the group s busi is balanc by it broad portfolio of sport and presenc in all major market,positive
the reduct will be implement immedi begin in octob,neutral
scanfil has also issu a profit warn,neutral
the product s front-edg fold maxim weather resili and enabl a seamless roof finish,neutral
acando ab acanb ss fell percent to kronor the lowest close sinc dec,negative
britain ftse get lift from prudenti result,positive
the deal was worth about eur mn,neutral
our vaalipalvelu-servic was especi develop for use by communiti and organ,neutral
on the other hand finnish sawmil product has decreas even more,negative
may companiesandmarketscom deliv by newstex -- this report provid key data and inform on the meat fish and poultri market in finland,neutral
in the report period the compani s oper profit grew by to eur million,positive
p bull flag on the daili earn on the tabl tomorrow - movewil straddl this one into earningslot of vol guarante here,positive
alert new rsi signal creat on cost - buy at - time - strength power by,positive
down to eur m h august - finnish media group ilkka-yhtyma oyj hel ilk said today it net profit fell on the year to eur m in the first half of,negative
honkarakenn oyj - a world-lead manufactur of genuin wooden home - will be sponsor finnish crosscountri skier virpi kuitunen for the next three year,neutral
netapp downgrad by macquari to underperform pt ntap ntap via ratingsnetwork,negative
profit befor tax decreas to eur mn from eur mn the year befor,negative
updat -pricey beer lift sabmil quarter under sale,positive
we are now take marimekko there on a distinct more signific scale,neutral
the compani slip to an oper loss of eur million from a profit of eur million,neutral
follow the demerg the vice presid of the group s pharmaceut trade in finland jukka niemi will be appoint manag director of oriola in addit to his current respons,neutral
fasten miss by miss on revenu fast nyse,negative
construct work on the helsinki music centr is to start this autumn with the total cost of the project estim at million euro,neutral
current the compani forese it pre-tax profit to remain below the level when it reach eur usd compar with previous project of a slight better pre-tax profit,negative
the reduct notic appli to peopl,negative
itv share price group mull takeov of canada entertain one,positive
scanfil has also issu a profit warn,negative
in food trade sale amount to eur m a declin of,negative
sale of cloth develop best,positive
today the orang scissor are the icon symbol of the excel ergonom design and superior qualiti associ with everi product from fiskar,neutral
talvik say the reloc of applic program on server will continu while hp server were approv becaus of hp suppli a tailor-mad solut to elisa,neutral
pivot research upgrad googl to buy stocktrad,positive
ingeni hsbc ub and coutt su by tax avoid client,negative
the point villag design by scott tallon walker will includ a shop center offic premis a hotel and a cinema,neutral
it also has strong asset in electron media employ an increas of percent on last year,positive
london afx - fortum said it has agre to sell it industri mainten servic oper to fund manag by capman for an undisclos sum,neutral
lassila tikanoja s oper profit exclud non-recur and imput item for the second quarter was eur m down from eur m a year ago,negative
construct is schedul to start in april-jun and to be complet in earli,neutral
tsla announc a recal and the stock doesnt sell off this stock is teflon wont last forev,positive
accord to swedish author trace of the veri toxic osmium tetroxid have been found on the coast of perñmeri the northernmost part of the gulf of bothnia,negative
adpnew - sep - finnish silicon wafer maker okmet oyj hel okmv said it will reduc the number of it cleric worker by worldwid as a result of personnel negoti complet today,neutral
the report profil compani includ mani key and nich player worldwid such as black decker corpor fiskar corpor fiskar brand inc husqvarna outdoor product inc ks group ryobi technolog inc the scott miracle-gro compani and van group inc,neutral
paper compani were in negat territori with stora enso r shed pct to eur upm-kymmen down pct at eur and m-real b pct lower at eur,negative
in term of profit and earn was the best year in our histori chief execut veli-matti mattila said,positive
im no profession anal-yst but i do put my where my mouth is aapl will do b yrendâ€”that anoth hun from herelong leap,positive
in q of the compani s result befor tax from continu oper exclud non-recur item total eur - mn compar to eur - mn in the correspond period in,negative
amd big dump would not touch it for a while,negative
oper profit fell to eur mn from eur mn in,negative
foundri divis report it sale increas by to eur mn from eur mn in the correspond period in and sale of the machin shop divis increas by to eur mn from eur mn in the correspond period in,positive
finnish telecom softwar develop tecnomen oyj said on decemb it won a mln mln euro order to suppli an expans of the charg and messag system for the mobil and fix network of brasil telecom,positive
in the baltic countri atria s target is organ growth,neutral
tesco sharehold back itv head for chairman,positive
companiestesco off to a bad start over xmas â€“ kantar,negative
fb ive been dead on so far such a bloat valuat,negative
oper profit total eur mn down from eur mn the year befor,negative
the currenc effect had a pct or mln euro mln negat impact on the revenu,negative
glaston headquart in tamper finland is a grow and intern glass technolog compani,neutral
in q of profit befor tax amount to eur mn down from eur mn in q of,negative
we are delight to announc our support for intel base handheld platform the capabl of which have made our develop easier and faster,positive
finnish technolog compani raut corpor omx helsinki rutav issu on tuesday septemb a profit warn for the financi year,negative
upm-kymmen has generat four consecut quarter of posit free cash flow,positive
sopho aim to rais m in london ipo,positive
axdx i got bore and took my proprietari profit exit i didnt like the option liquid and lousi spread,negative
navteq has a command lead in instal map data system in north american vehicl and may be the leader in turn-by-turn navig data offer by servic such as onstar in north america said analyst phil magney of telemat research group in minnetonka minn,positive
in lithuania oper profit rose to eur from eur in the correspond period in,positive
approv by sharehold of cencorp in accord with finnish law,neutral
we have a licens agreement with nokia corp which in part expir on april,neutral
mpwr ceo sell k april thmeh,negative
these share transact are part of the compani s strategi of relinquish asset that are not part of it core busi,neutral
the group also has a strong global posit in other fish categori,positive
current the compani use eight similar reach stacker and four empti contain handler by konecran,neutral
helsinki thomson financi - share close littl chang with cargotec and huhtamaki drop sharpli on disappoint second-quart report,neutral
aapl im sure those short are hold their breath hope for a miracl lol,positive
the valu of the deal has not been disclos,neutral
narrow to eur m -mo octob - finnish softwar and hardwar develop elektrobit oyj hel ebgv or eb said today that it net loss narrow to eur m for the first nine month of from eur m for the same period a year ago,positive
exel is headquart in mantyharju in finland,neutral
an individu promot also generat slight higher-than-expect revenu,positive
sp downgrad barclay and rbs on govern bailout fear,negative
ab inbev to sell sabmil stake in china snow beer,neutral
at the same time sale develop in russia was boost by the open of stockmann nevski centr in st petersburg,positive
dmnd green and move,positive
the airlin estim that the cancel of it flight due to the closur of european airspac and the process of recommenc traffic have caus a the compani a loss of eurm includ the cost of strand passeng accommod,neutral
key price to watch in nflx off the previous doubl top reject,negative
marathon estim the valu of it remain stake in protalix at million,neutral
bilfing industri servic win â£m bp contract extens,positive
servic supplier efor plc to streamlin oper in finland and the us finnish electron system and servic supplier efor plc omx helsinki efov said on tuesday februari that it has initi statutori negoti regard a streamlin of it oper in finland,positive
we are glad that our long co-oper with sodra continu comment stig-goran sandberg affecto s area manag for baltic oper,positive
pge belchatow run the gw belchatow coal-fir power plant and fortum has intent to start a ccs demonstr project joint with teollisuuden voima oyj tvo - anoth finnish util - at the their joint own mw meri-pori coal-fir facil,neutral
us sanction put gazprom-shel allianc plan in jeopardi,negative
the result will also be burden by increas fix cost associ with oper in china and restructur cost in japan,negative
the administr have indic a need for job cut at the irish insur over the next month,negative
the world s second largest stainless steel maker said net profit in the three-month period until dec surg to euro million us million or euro us per share from euro million or euro per share the previous year,positive
nokia - the world s largest mobil phone manufactur - and china postel - china s largest mobil phone distributor - have a long-stand partnership that continu to grow stronger over time,positive
commiss incom decreas to eur mn compar to eur mn in the third quarter of,negative
our strateg cooper with rentakran bring us new custom and already-work relationship with the author of the new territori said jarmo laasanen a senior manag at cramo,positive
sale in latin america increas by to eur mn and a total of mn mobil devic were sold in the area repres an increas of from the correspond period in,positive
the ebrd is use it own fund to provid a mln a loan while the b portion of mln euro has been syndic to two finnish commerci bank nordea bank finland plc mln euro and pohjola bank plc mln euro,neutral
pretax profit decreas to eur mn from eur mn in the fourth quarter of,negative
oper profit total eur mn down from eur mn the year befor,negative
subscript sale decreas slight,negative
this implement is veri import to the oper sinc it is about to launch it fixed-to-mobil converg servic in brazil see brazil may,neutral
exp work on the second leg of it revers run as it break anoth down trend and continu higher,positive
adp news - feb - finnish retail kesko oyj hel kesbv said today it total sale exclud valu ad tax vat stood at eur million usd m in januari down year-on-yea,neutral
accord to barclay the f-secur softwar will protect user from hacker virus spywar and other digit attack,neutral
devic volum in the area decreas by to mn unit,negative
benefon will turn the salo unit into a bb busi unit and establish a bc busi unit in the uk,neutral
sheryl sandberg sell share of facebook inc fb stock via ratingsnetwork,negative
border guard servic has ban the moor of the compani car-ship ferri on it test travel at the railroad-car termin of the russian port as the border checkpoint is not yet readi,negative
in the deal is like to bring save of eur mn-mn,positive
the number of bodili injuri case quadrupl in -,negative
oper loss total eur mn compar to a profit of eur mn in the correspond period in,negative
loss after financi item total eur mn compar to a profit of eur mn in the correspond period in,negative
the sale of the tiimari segment fell by year-on-year to eur m in june,negative
systeemitiimi s sale and project resourc will also be strengthen director paul skogberg said,positive
adpnew - aug - finnish media group ilkka-yhtyma oyj hel ilk said today it net profit fell on the year to eur million usd m in the first half of,negative
salcomp manufactur oy will pay eur million in cash to salcomp in connect with the implement of the sale and transfer of the busi,neutral
finnish kci konecran has rais it net sale growth estim for from over to over,positive
shire share price under pressur after bn baxalta deal,negative
gpro down sinc tue morn,negative
nordic bank have alreadi had to write off sizabl loan in latvia with swedbank nordea dnb nor and seb report combin loss in excess of billion in the period to against a backdrop of near econom meltdown in latvia,negative
updat -dairi crest lose a third of morrison milk contract,negative
stockmann mastercard has widen the scope of this cooper to estonia and latvia,positive
adp news - feb - finnish comput servic compani proha oyj hel artv said today it net loss narrow to eur usd for from eur million for,positive
also the tradit grapevin carri a lot of weight,neutral
eli lilli co lli has broken out to a new high on astrazeneca collabor,positive
the compani also said on novemb it real estat fund i ky sign an agreement with finnish window maker fenestra oy to build a window plant in forssa southern finland,positive
ep for the quarter was eur as compar with eur in the third quarter of repres a group net sale for the third quarter were eur m up by as compar with eur m in the third quarter of,positive
the one dark spot on the horizon howev was the compani s perform in the finnish bottl water market,negative
finnish technolog compani raut corpor omx helsinki rutav issu on tuesday septemb a profit warn for the financi year,negative
water treatment product in australia today global research data servic is go to publish a market analysi about the market for chemic water treatment product in australia,neutral
the order includ ship crane that will be deliv for contain feeder to be built at wenchong shipyard in china,neutral
the poorest index figur was given to finnish power compani fortum,negative
profit for the period total eur mn down from eur mn in the correspond period in,negative
the total deliveri volum of paper busi in was tonn up from tonn in,positive
in addit kone sign a two-year mainten contract for the escal,positive
then it said the contract was estim to contribut more than eurm to it net sale in,positive
the workforc will be reduc also in the amsterdam offic in the netherland,neutral
isolation anoth sell rate sell rate on spi qqq iwm and sever compani aapl axp bac blue fxe,negative
scanfil a system supplier and contract manufactur to the communic sector will give notic to product employe and temporarili lay off employe at the compani s plant in sievi in finland,negative
the compani did not disclos the price of the acquisit,neutral
kesko corpor stock exchang releas at kesko corpor and aspo plc today sign an agreement by which aspo acquir the share capit of kauko-telko ltd a subsidiari wholli own by kesko,positive
it also includ the instal of new equip train and start-up servic as well as servic work of the shoe press deliv by vaahto in,neutral
the oper margin came down to from,negative
tesco lead leap in ftse mark spencer drop,positive
rapala estim it net sale for will increas by between pct and pct assum exchang rate,positive
shell billion bg deal meet sharehold skeptic,negative
wartsila won the contract in octob and the plant will be instal at manturovo in the kostroma region of russia about km northeast of moscow russia,positive
here come the short marchin in gmcr lovin it!,negative
fda approv shire vyvans for binge- disord,positive
dmnd green and move,positive
busi boom after ostrom help plant a small stori about rapala lure in a life magazin issu that featur marilyn monro on the cover,positive
rd red day in a row tsla,negative
more than a third of the origin particip drop out due to nausea and other side effect,neutral
the repurchas shall decreas the distribut capit and reserv,negative
sale improv to sek mn compar with sek mn,positive
a le coq had a market share of percent and rival beverag group saku percent,neutral
